username, created_at, lng, lat, text
glennemay, Thu Jun 11 10:07:49 +0000 2020, -71.642683, 42.319188, @KateMerrill @wbz Repair it, return it.   Embrace it 
d0mbizzle, Thu Jun 11 10:07:50 +0000 2020, -80.347120, 25.671986, My ride to the airport not answering the phone 🥴 
Bo_Dean__, Thu Jun 11 10:07:50 +0000 2020, -83.173867, 32.678207, Good morning good people ✊🏾 
TubioloJ, Thu Jun 11 10:07:52 +0000 2020, -122.961913, 46.140806, @Dee52856733 @MayorJenny Very well said. 100% correct. 
StellaKeesling, Thu Jun 11 10:07:52 +0000 2020, -83.499980, 42.570558, Inspiring is true! 
lettucewrangler, Thu Jun 11 10:07:53 +0000 2020, -82.669467, 40.365160, @yoopergirl74 @JessiSheron @scumbelievable The Dursleys were the victims of those books.They're just living their… https://t.co/EatkW9vtnq 
UNCLE__STEVIE, Thu Jun 11 10:07:53 +0000 2020, -81.538480, 41.390802, Hummmmm, and no one is stopping them 
kaestackss, Thu Jun 11 10:07:53 +0000 2020, -86.680738, 32.576227, Yung kae coming back to the hill 😉😎 
auntiesophsoph_, Thu Jun 11 10:07:54 +0000 2020, -95.446486, 29.838495, @blxtzcxmet 💀 
sportingjim, Thu Jun 11 10:07:54 +0000 2020, -82.936399, 39.964856, @nicolekeithphd @ACSMNews Ugh 🤦🏼‍♂️ 
Super_Mario_18, Thu Jun 11 10:07:54 +0000 2020, -73.831187, 40.670879, @CheyenneSchaare @Jam2340Jesus damn she said your slow @Jam2340Jesus 
___vonnn1, Thu Jun 11 10:07:54 +0000 2020, -81.526530, 41.523913, I a never get caught 
Marciamarciaj, Thu Jun 11 10:07:54 +0000 2020, -83.804475, 27.698682, @biden_brigade I'm a hippie at heart, I have no tolerance for racism, hate. I've also got a big mouth, believe in f… https://t.co/YwUM4IHqTG 
Philip_S_Brown, Thu Jun 11 10:07:55 +0000 2020, -80.456556, 35.992371, @AGoldFan That’s cool. It’s just so overwhelming. I enjoy the show tremendously. Thanks for providing another local… https://t.co/v0gmPxtTvj 
keeganlmedia, Thu Jun 11 10:07:55 +0000 2020, -90.890053, 30.230047, This is how I feel on so many Zoom calls. 
ruhelahmed95, Thu Jun 11 10:07:56 +0000 2020, -73.919730, 40.765587, It’s 6am, I hear a duck quacking. Wtf 
HankOnFood, Thu Jun 11 10:07:56 +0000 2020, -95.446486, 29.838495, #THORsDay!!! #雷神的天!!! @MattGranite @DarbyDouglasTV @thordiakow 20100611 https://t.co/povxdlIhCH 
MoneyMirCEO, Thu Jun 11 10:07:56 +0000 2020, -76.746638, 38.963783, $GNUS just tanked 
NatalieOnTheAir, Thu Jun 11 10:07:56 +0000 2020, -82.442694, 27.996595, @iSplashRadio https://t.co/uKVcuZFWSZ 
williamgrace74, Thu Jun 11 10:07:56 +0000 2020, -76.492200, 38.978500, #life #lifequotes #quotes #quotestoliveby #quoteoftheday #quotesaboutlife #quotesdaily #quotesforlife #instagram… https://t.co/TD9Avu816F 
RobertAbruzzes3, Thu Jun 11 10:07:56 +0000 2020, -82.665911, 28.300058, @CuomoPrimeTime @ChrisCuomo https://t.co/xVsIORwQF9 
topnotch36532, Thu Jun 11 10:07:57 +0000 2020, -87.878513, 30.536468, @realDonaldTrump @JayInslee Come next January, you will be stooped from ever entering The White House again! https://t.co/DFWQ5IaCXa 
wilkey_richard, Thu Jun 11 10:07:57 +0000 2020, -82.700116, 34.792575, BADASS 
mjrichardson_to, Thu Jun 11 10:07:57 +0000 2020, -79.272570, 43.629311, @tamera @GerrardIndiaBaz @BeachMetroNews @TorontoHydro Yeah, looks like it is all SOUTH of the GO-Train tracks from… https://t.co/hivifvB23e 
yankees1958, Thu Jun 11 10:07:58 +0000 2020, -75.386460, 39.145024, @Abraxsys Tootsie! 
FWESIBPYP, Thu Jun 11 10:07:58 +0000 2020, -79.861034, 35.170499, It’s all about our 5th Graders today- we’re ready...rain or shine! Time to celebrate these IB Learners and how much… https://t.co/Kj7QgGEdjn 
Tyrone556, Thu Jun 11 10:07:58 +0000 2020, -93.197723, 30.202771, @barbieenycc You don’t do the things you normally do, you don’t look forward to the day, you don’t find happiness i… https://t.co/oacgM491Lz 
23jovinchey, Thu Jun 11 10:07:58 +0000 2020, -79.861034, 35.170499, How that girl go missing on base? Deadass though 
Hazedous, Thu Jun 11 10:07:59 +0000 2020, -92.436774, 38.304558, @WhitneyDillon 🙏 
test5f1798, Thu Jun 11 10:07:59 +0000 2020, -80.050540, 40.431347, near bsgstblender: 02a366a0-efd8-486a-929a-19714350415b 
MahogaanyRenee, Thu Jun 11 10:08:00 +0000 2020, -95.446486, 29.838495, literally 
WIPMorningShow, Thu Jun 11 10:08:01 +0000 2020, -75.117998, 40.004866, Today’s lineup!7AM- @JohnStolnis 8AM- @jonjohnsonwip 9AM- Matt StairsTune in here ⬇️https://t.co/0iZKYKflge 
xolysa_, Thu Jun 11 10:08:02 +0000 2020, -118.411907, 34.020789, pop tarts nasty. 
fgarunes, Thu Jun 11 10:08:02 +0000 2020, -105.242687, 40.023982, ههههههه دمك شربات يا كلوط 
Local24Jalyn, Thu Jun 11 10:08:03 +0000 2020, -89.922029, 35.133521, The downtown master plan calls for doing away with the MLGW site and turning it into an office, residential, hospit… https://t.co/jlIaEpCimH 
DTNCA, Thu Jun 11 10:08:03 +0000 2020, -121.983282, 36.991172, @mitchellvii And not just an all-time high, but an all-time high after a three month shut down of the economy Amazing!!! ❤️🇺🇸🚂🚂🚂 
dmiaww, Thu Jun 11 10:08:03 +0000 2020, -122.330602, 47.614817, 芍药叶子肥趴趴真可爱！大毛儿发芽🌱啦！#发芽好累现在要去休眠了 https://t.co/Ug9zOjZH2D 
jonboag81, Thu Jun 11 10:08:04 +0000 2020, -71.683502, 42.036939, Virtual MassCUE Fall Conference - Who would like to present? @GlobalGEG @JaimeDonally @breicher @SCarolinaGEG… https://t.co/ndWuuLTRmU 
DPRINCECFRN, Thu Jun 11 10:08:04 +0000 2020, -72.660170, 40.950370, Couple outtakes from the freshvetz “MOVE THE CROWD” video in 2011. good times!! Thanks to my brother partyrockinp f… https://t.co/6Sdh7Zwr3W 
Dveegoodnite, Thu Jun 11 10:08:04 +0000 2020, -73.948775, 40.655138, @NCbae79 Lol for real, gets dark so late too like 9pm😂 
NickGs_, Thu Jun 11 10:08:05 +0000 2020, -84.266174, 30.476216, @inndigold Let me train u 👀 
TheDeckard, Thu Jun 11 10:08:06 +0000 2020, -122.334461, 47.307568, @Mermerican @historyofarmani Got any reports of that happening, or are you just ghoulishly hoping for it? 
calvey_donna, Thu Jun 11 10:08:06 +0000 2020, -81.922535, 41.411702, It’s a diabolical hot mess overdue by 40 yrs Failed by every single pro adult in the community for the last 45 year… https://t.co/0LVePojWGx 
_cookieeecrisp, Thu Jun 11 10:08:06 +0000 2020, -90.011008, 29.982601, I’m stronger than I think. 
