username, created_at, lng, lat, text
511nyAlbany, Thu Jun 11 10:22:41 +0000 2020, -74.508025, 42.893760, Updated: Construction on #I90NYSThruway WB from Before Exit 29 (I-90) - Canajoharie (Rte 10) to Before Exit 29 (I-9… https://t.co/GZCuXRf6y0 
511NY, Thu Jun 11 10:22:41 +0000 2020, -74.068209, 41.462726, Updated: Construction on #I87NYSThruway NB from Before Exit 17 (I-87) - Newburgh (I-84 - Rte 17K) to Before Exit 17… https://t.co/NVIXjZbAOt 
dm3122, Thu Jun 11 10:22:42 +0000 2020, -71.463968, 41.768938, @jimmyevans57 @georgia405 @probethedems @AbbeyRhoade @tedcruz Oh, I figured. That’s why it’s cringey. 
511NY, Thu Jun 11 10:22:42 +0000 2020, -74.508025, 42.893760, Updated: Construction on #I90NYSThruway WB from Before Exit 29 (I-90) - Canajoharie (Rte 10) to Before Exit 29 (I-9… https://t.co/xtR7WL0RHy 
LeeLawrence58, Thu Jun 11 10:22:42 +0000 2020, -79.467812, 36.078021, @DeAnna4Congress He has his own agenda 
_Realdrippyj, Thu Jun 11 10:22:42 +0000 2020, -92.268063, 30.688567, @sayWoody2x Fasho🔺 
Harriet86108004, Thu Jun 11 10:22:42 +0000 2020, -77.236969, 38.805115, @DroppedmicAgain @DavidMa35376344 How long will she stand... can we bomb her? https://t.co/gsaZGHZyjB 
WendellHubbard6, Thu Jun 11 10:22:42 +0000 2020, -118.411907, 34.020789, @AmberRolls_ Having an insomniac night myself. 
afrigurl, Thu Jun 11 10:22:42 +0000 2020, -79.616073, 43.555244, @Banks__Banks Sorry for your loss..may his soul RIP 🙏 
Christo69531332, Thu Jun 11 10:22:43 +0000 2020, -85.170051, 41.086917, @thisisapril00 @LyfeOfRyley https://t.co/1LnJV11q5m 
ron_wyche, Thu Jun 11 10:22:43 +0000 2020, -83.173867, 32.678207, @CoachBru Stupid is as Stupid does? 
LakerNationTony, Thu Jun 11 10:22:44 +0000 2020, -118.411907, 34.020789, @HawkLikessLife On this warzone, half these guns are new lol 
__jaxxx__, Thu Jun 11 10:22:44 +0000 2020, -119.340256, 36.195690, It’s 3 am and my fatass is craving aguachile de camaron 😩 
CommonCormorant, Thu Jun 11 10:22:45 +0000 2020, -118.010297, 33.684302, @ArthurCDent What did I find earlier… yes. We're moving apace. https://t.co/nbII03m7LE 
Purple_Oriole, Thu Jun 11 10:22:45 +0000 2020, -76.488585, 39.264492, I guess I'll start it now so it's ready when I get off today😞😒😑 
DorothyDeMello, Thu Jun 11 10:22:45 +0000 2020, -92.870721, 47.487267, .@Deblits1969 LOL 
MySageDental, Thu Jun 11 10:22:45 +0000 2020, -80.268357, 26.661763, Interested in a job in #Wellington, FL? This could be a great fit: https://t.co/xBgAbMrfTY #Dentist 
j_kiccs_lover24, Thu Jun 11 10:22:45 +0000 2020, -78.657837, 35.843981, @Hell_Vell27 @ChoyceTurbo @BlackPplCrazyy NAH BRO DATS DEFINITELY HIM 😂😂😂 
lizimolmo, Thu Jun 11 10:22:46 +0000 2020, -83.804475, 27.698682, @LuciTMen Buenos días 🥰🙏🏼☕️ https://t.co/QswtpSy7Du 
FernyChien, Thu Jun 11 10:22:46 +0000 2020, -83.173867, 32.678207, Later...#byeRay 
columbiaphotos, Thu Jun 11 10:22:46 +0000 2020, -81.248786, 42.948841, Have a budget? I can help. My exclusive money saving sale is on now until the end of July. Click on the link for de… https://t.co/9lJrUzZGKx 
jaykayray99, Thu Jun 11 10:22:47 +0000 2020, -83.804475, 27.698682, Tell me why I had a whole ass dream that I cussed out someone at the pig because they didn’t believe I accidentally… https://t.co/hqpb3Gj3d0 
daaziaaa_, Thu Jun 11 10:22:47 +0000 2020, -90.253346, 30.009352, On location 
shikeondre, Thu Jun 11 10:22:48 +0000 2020, -84.470388, 33.631277, Love Lockdown 
EdgarEs10900520, Thu Jun 11 10:22:48 +0000 2020, -121.873730, 37.331159, @jocelynalvaaa Yo si caminario con tigo 
infosrv, Thu Jun 11 10:22:48 +0000 2020, -74.477300, 39.489900, [19:22:48] 172.105.224.78:50657 &gt;&gt; :49152 (TCP:SYN) 
rick03907, Thu Jun 11 10:22:49 +0000 2020, -68.984705, 45.188407, @jaimemc01 @visitmaine @OgunquitChamber @StormHour @WeatherNation @Lighthypeapp @MagazineofMaine Thanks 
plezWorld, Thu Jun 11 10:22:50 +0000 2020, -83.173867, 32.678207, @MsBlue_46 And I  refuse to even use a capital letter... trump ain’t worthy. 
Demareezzyy, Thu Jun 11 10:22:50 +0000 2020, -89.266508, 39.739300, @mamakrishnaa Don’t een need allat shorty 
Katie_Giesler, Thu Jun 11 10:22:50 +0000 2020, -96.579904, 43.594509, @DimeHatesYou Girl you fucking rock this 😭😭😭 
hjjr1957, Thu Jun 11 10:22:50 +0000 2020, -83.161234, 42.209393, @Efyabaaphi @GeneralNoche @Newsweek That was a joke...you sound more ignorant. 
